"id. Response ID";"submitdate. Date submitted";"lastpage. Last page";"startlanguage. Start language";"seed. Seed";"startdate. Date started";"datestamp. Date last action";"GS. State your Group Number";"CARSELCONF. HOW DO YOU FEEL when people ask you about your IT / Computer Science / Other career plans? Do you feel confident, worried, ready for the future, or not-so-ready? Check the first thing comes to your mind at the moment -- how do you feel about career planning? ";"CARSELCONF[comment]. HOW DO YOU FEEL when people ask you about your IT / Computer Science / Other career plans? Do you feel confident, worried, ready for the future, or not-so-ready? Check the first thing comes to your mind at the moment -- how do you feel about career planning?  [Comment]";"CARPROSQ[SQ001]. CAR PROSPECT QUESTIONS [Do you know what skills employers need?]";"CARPROSQ[SQ002]. CAR PROSPECT QUESTIONS [Do you have ideas about which jobs or careers fit your interests and skills?]";"CARPROSQ[SQ003]. CAR PROSPECT QUESTIONS [Have you made contact with people who work in jobs that interest you? ]";"CARPROSQ[SQ004]. CAR PROSPECT QUESTIONS [Do you understand the short and long term impacts of your education and career choices?]";"CARPROSQ[SQ005]. CAR PROSPECT QUESTIONS [Do you know how to make a good impression if you want to be chosen for a position of responsibility?]";"CARPROSQ[SQ006]. CAR PROSPECT QUESTIONS [Do you know how to make a good impression when applying for a course or job?]";"CARPROSQ[SQ007]. CAR PROSPECT QUESTIONS [Do you feel confident talking about your skills in an interview?]";"CT[001]. I am confident in my ability to:  [I am confident in my ability to Revise drafts and justify revisions with evidence]";"CT[002]. I am confident in my ability to:  [I am confident in my ability to Develop follow-up questions that focus or broaden inquiry]";"CT[003]. I am confident in my ability to:  [I am confident in my ability to Create new, unique, surprising products]";"CT[004]. I am confident in my ability to:  [I am confident in my ability to Identify in detail what needs to be known to answer a science inquiry question]";"CT[005]. I am confident in my ability to:  [I am confident in my ability to Evaluate reasoning and evidence that support an argument]";"CT[006]. I am confident in my ability to:  [I am confident in my ability to Create ideas geared to the intended client or user]";"CT[007]. I am confident in my ability to:  [I am confident in my ability to Develop follow-up questions to gain understanding of the wants and needs of client or product users]";"CT[008]. I am confident in my ability to:  [I am confident in my ability to Combine different elements into a complete product]";"CT[009]. I am confident in my ability to:  [I am confident in my ability to Understand questions that lead to critical thinking]";"CT[010]. I am confident in my ability to:  [I am confident in my ability to Justify choices of evaluation criteria]";"CT[011]. I am confident in my ability to:  [I am confident in my ability to Gather relevant and sufficient information from different sources]";"COL[SQ001]. I am confident in my ability to:  [Be polite and kind to teammates]";"COL[SQ002]. I am confident in my ability to:  [Acknowledge and respect other perspectives]";"COL[SQ003]. I am confident in my ability to:  [Follow rules for team meetings]";"COL[SQ004]. I am confident in my ability to:  [Make sure all team members' ideas are equally valued]";"COL[SQ005]. I am confident in my ability to:  [Offer assistance to others in their work when needed]";"COL[SQ006]. I am confident in my ability to:  [Improve my own work when given feedback]";"COL[SQ007]. I am confident in my ability to:  [Use appropriate body language when presenting]";"COL[SQ008]. I am confident in my ability to:  [Come physically and mentally prepared each day]";"COL[SQ009]. I am confident in my ability to:  [Follow rules for team decision-making]";"COM[SQ001]. I am confident in my ability to:  [Use time, and run meetings, efficiently]";"COM[SQ002]. I am confident in my ability to:  [Organize information well]";"COM[SQ003]. I am confident in my ability to:  [Track our team's progress toward goals and deadlines]";"COM[SQ004]. I am confident in my ability to:  [Complete tasks without having to be reminded]";"COM[SQ005]. I am confident in my ability to:  [Present all information clearly, concisely, and logically]";"CRE[SQ001]. I am confident in my ability to:  [Understand how knowledge or insights might transfer to other situations or contexts]";"CRE[SQ002]. I am confident in my ability to:  [Find sources of information and inspiration when others do not]";"CRE[SQ003]. I am confident in my ability to:  [Help the team solve problems and manage conflicts]";"CRE[SQ004]. I am confident in my ability to:  [Adapt a communication style appropriate for the purpose, task, or audience]";"CRE[SQ005]. I am confident in my ability to:  [Elaborate and improve on ideas]";"interviewtime. Total time";"groupTime72. Group time: General Information";"GSTime. Question time: GS";"CARSELCONFTime. Question time: CARSELCONF";"CARPROSQTime. Question time: CARPROSQ";"groupTime68. Group time: Critical Thinking";"CTTime. Question time: CT";"groupTime69. Group time: Collaboration";"COLTime. Question time: COL";"groupTime70. Group time: Communication";"COMTime. Question time: COM";"groupTime71. Group time: Creativity";"CRETime. Question time: CRE"
"17";"2022-11-01 08:17:37";"5";"el";"1937481377";"2022-11-01 08:11:02";"2022-11-01 08:17:37";"GROUP 5";"Ready";"";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"253.47";"67.53";"";"";"";"90.9";"";"38.36";"";"25.82";"";"30.86";""
"18";"2022-11-01 08:19:25";"5";"el";"1241128328";"2022-11-01 08:11:10";"2022-11-01 08:19:25";"GROUP 4";"Confident";"";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I’m not able to do this yet";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"2: Disagree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"2: Disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"5: Strongly agree";"342.29";"160.21";"";"";"";"84.63";"";"41.64";"";"28.53";"";"27.28";""
"19";"2022-11-01 08:21:53";"5";"el";"1501054983";"2022-11-01 08:12:13";"2022-11-01 08:21:53";"GROUP 4";"Excited";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this really well";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"5: Strongly agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"582.58";"250.92";"";"";"";"137.23";"";"76.63";"";"72.29";"";"45.51";""
"20";"2022-11-01 08:29:18";"5";"el";"451015583";"2022-11-01 08:12:55";"2022-11-01 08:29:18";"GROUP 1";"I haven't really started planning yet";"";"I don’t know what this means";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I don’t know what this means";"I know what this is, but I’m not sure if I can do it";"I don’t know what this means";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"2: Disagree";"2: Disagree";"2: Disagree";"2: Disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"984.85";"441.18";"";"";"";"233.27";"";"157.47";"";"47.52";"";"105.41";""
"22";"2022-11-01 08:24:42";"5";"el";"1605021373";"2022-11-01 08:13:26";"2022-11-01 08:24:42";"GROUP 1";"Worried";"";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I can do this really well";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"3: Neither agree nor disagree";"4: Agree";"2: Disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"2: Disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"677.89";"301.7";"";"";"";"196.05";"";"80.88";"";"56.22";"";"43.04";""
"23";"2022-11-01 08:26:28";"5";"el";"1498269369";"2022-11-01 08:13:27";"2022-11-01 08:26:28";"GROUP 3";"Worried";"";"I don’t know what this means";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I’m not able to do this yet";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"786.04";"478.48";"";"";"";"114.57";"";"86.3";"";"44.32";"";"62.37";""
"24";"2022-11-01 08:25:48";"5";"el";"588917626";"2022-11-01 08:13:27";"2022-11-01 08:25:48";"GROUP 4";"Bored";"";"I can do this quite well but could develop further";"I can do this really well";"I can do this really well";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"5: Strongly agree";"3: Neither agree nor disagree";"4: Agree";"2: Disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"5: Strongly agree";"2: Disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"742.46";"267.05";"";"";"";"285.75";"";"67.64";"";"77";"";"45.02";""
"26";"2022-11-01 08:24:14";"5";"el";"1880852020";"2022-11-01 08:13:28";"2022-11-01 08:24:14";"GROUP 2";"Worried";"";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"647.54";"231.88";"";"";"";"195.28";"";"86.11";"";"47.13";"";"87.14";""
"27";"2022-11-01 08:23:10";"5";"el";"1053877571";"2022-11-01 08:13:28";"2022-11-01 08:23:10";"GROUP 1";"Ready";"";"I don’t know what this means";"I’m not able to do this yet";"I can do this quite well but could develop further";"I’m not able to do this yet";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I don’t know what this means";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"585.34";"409.11";"";"";"";"118.15";"";"43.12";"";"7.28";"";"7.68";""
