"id. Response ID";"submitdate. Date submitted";"lastpage. Last page";"startlanguage. Start language";"seed. Seed";"GS. State your Group Number";"CARSELCONF. HOW DO YOU FEEL when people ask you about your IT / Computer Science / Other career plans? Do you feel confident, worried, ready for the future, or not-so-ready? Check the first thing comes to your mind at the moment -- how do you feel about career planning? ";"CARSELCONF[comment]. HOW DO YOU FEEL when people ask you about your IT / Computer Science / Other career plans? Do you feel confident, worried, ready for the future, or not-so-ready? Check the first thing comes to your mind at the moment -- how do you feel about career planning?  [Comment]";"CARPROSQ[SQ001]. CAR PROSPECT QUESTIONS [Do you know what skills employers need?]";"CARPROSQ[SQ002]. CAR PROSPECT QUESTIONS [Do you have ideas about which jobs or careers fit your interests and skills?]";"CARPROSQ[SQ003]. CAR PROSPECT QUESTIONS [Have you made contact with people who work in jobs that interest you? ]";"CARPROSQ[SQ004]. CAR PROSPECT QUESTIONS [Do you understand the short and long term impacts of your education and career choices?]";"CARPROSQ[SQ005]. CAR PROSPECT QUESTIONS [Do you know how to make a good impression if you want to be chosen for a position of responsibility?]";"CARPROSQ[SQ006]. CAR PROSPECT QUESTIONS [Do you know how to make a good impression when applying for a course or job?]";"CARPROSQ[SQ007]. CAR PROSPECT QUESTIONS [Do you feel confident talking about your skills in an interview?]";"CT[001]. I am confident in my ability to:  [I am confident in my ability to Revise drafts and justify revisions with evidence]";"CT[002]. I am confident in my ability to:  [I am confident in my ability to Develop follow-up questions that focus or broaden inquiry]";"CT[003]. I am confident in my ability to:  [I am confident in my ability to Create new, unique, surprising products]";"CT[004]. I am confident in my ability to:  [I am confident in my ability to Identify in detail what needs to be known to answer a science inquiry question]";"CT[005]. I am confident in my ability to:  [I am confident in my ability to Evaluate reasoning and evidence that support an argument]";"CT[006]. I am confident in my ability to:  [I am confident in my ability to Create ideas geared to the intended client or user]";"CT[007]. I am confident in my ability to:  [I am confident in my ability to Develop follow-up questions to gain understanding of the wants and needs of client or product users]";"CT[008]. I am confident in my ability to:  [I am confident in my ability to Combine different elements into a complete product]";"CT[009]. I am confident in my ability to:  [I am confident in my ability to Understand questions that lead to critical thinking]";"CT[010]. I am confident in my ability to:  [I am confident in my ability to Justify choices of evaluation criteria]";"CT[011]. I am confident in my ability to:  [I am confident in my ability to Gather relevant and sufficient information from different sources]";"COL[SQ001]. I am confident in my ability to:  [Be polite and kind to teammates]";"COL[SQ002]. I am confident in my ability to:  [Acknowledge and respect other perspectives]";"COL[SQ003]. I am confident in my ability to:  [Follow rules for team meetings]";"COL[SQ004]. I am confident in my ability to:  [Make sure all team members' ideas are equally valued]";"COL[SQ005]. I am confident in my ability to:  [Offer assistance to others in their work when needed]";"COL[SQ006]. I am confident in my ability to:  [Improve my own work when given feedback]";"COL[SQ007]. I am confident in my ability to:  [Use appropriate body language when presenting]";"COL[SQ008]. I am confident in my ability to:  [Come physically and mentally prepared each day]";"COL[SQ009]. I am confident in my ability to:  [Follow rules for team decision-making]";"COM[SQ001]. I am confident in my ability to:  [Use time, and run meetings, efficiently]";"COM[SQ002]. I am confident in my ability to:  [Organize information well]";"COM[SQ003]. I am confident in my ability to:  [Track our team's progress toward goals and deadlines]";"COM[SQ004]. I am confident in my ability to:  [Complete tasks without having to be reminded]";"COM[SQ005]. I am confident in my ability to:  [Present all information clearly, concisely, and logically]";"CRE[SQ001]. I am confident in my ability to:  [Understand how knowledge or insights might transfer to other situations or contexts]";"CRE[SQ002]. I am confident in my ability to:  [Find sources of information and inspiration when others do not]";"CRE[SQ003]. I am confident in my ability to:  [Help the team solve problems and manage conflicts]";"CRE[SQ004]. I am confident in my ability to:  [Adapt a communication style appropriate for the purpose, task, or audience]";"CRE[SQ005]. I am confident in my ability to:  [Elaborate and improve on ideas]";"interviewtime. Total time";"groupTime178. Group time: General Information";"GSTime. Question time: GS";"CARSELCONFTime. Question time: CARSELCONF";"CARPROSQTime. Question time: CARPROSQ";"groupTime174. Group time: Critical Thinking";"CTTime. Question time: CT";"groupTime175. Group time: Collaboration";"COLTime. Question time: COL";"groupTime176. Group time: Communication";"COMTime. Question time: COM";"groupTime177. Group time: Creativity";"CRETime. Question time: CRE"
"16";"1980-01-01 00:00:00";"5";"el";"120287584";"GROUP 3";"Excited";"";"I can do this really well";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"5: Strongly agree";"4: Agree";"1: Strongly disagree";"2: Disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"2: Disagree";"3: Neither agree nor disagree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"458.94";"119.94";"";"";"";"162.33";"";"88.48";"";"63.55";"";"24.64";""
"17";"1980-01-01 00:00:00";"5";"el";"1431285458";"GROUP 4";"I don't have enough information";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"2: Disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"2: Disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"2: Disagree";"4: Agree";"4: Agree";"50.03";"18.95";"";"";"";"10.38";"";"8.94";"";"6.51";"";"5.25";""
"18";"1980-01-01 00:00:00";"5";"el";"1245978021";"GROUP 4";"Excited";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"35.33";"13.21";"";"";"";"6.54";"";"7.06";"";"4.54";"";"3.98";""
"19";"1980-01-01 00:00:00";"5";"el";"2018618469";"GROUP 6";"Worried";"mou prokalei agxos";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"270.22";"204.25";"";"";"";"39.22";"";"11.2";"";"6.84";"";"8.71";""
"20";"1980-01-01 00:00:00";"5";"el";"872782702";"GROUP 4";"Confident";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"87.13";"46.2";"";"";"";"15.9";"";"11.34";"";"6.72";"";"6.97";""
"21";"1980-01-01 00:00:00";"5";"el";"295581015";"GROUP 2";"Excited";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"56.64";"20.14";"";"";"";"9.33";"";"12.89";"";"6.56";"";"7.72";""
"22";"1980-01-01 00:00:00";"5";"el";"253508579";"GROUP 1";"Ready";"";"I can do this really well";"I can do this quite well but could develop further";"I can do this really well";"I can do this really well";"I can do this quite well but could develop further";"I can do this really well";"I can do this really well";"5: Strongly agree";"5: Strongly agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"84.86";"50.36";"";"";"";"11.09";"";"10.61";"";"5.9";"";"6.9";""
"23";"1980-01-01 00:00:00";"5";"el";"1259714798";"GROUP 5";"Confident";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"67.99";"35.89";"";"";"";"9.03";"";"10.55";"";"6.62";"";"5.9";""
"24";"1980-01-01 00:00:00";"5";"el";"1205486837";"GROUP 1";"Ready";"";"I can do this quite well but could develop further";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"2: Disagree";"4: Agree";"4: Agree";"2: Disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"2: Disagree";"2: Disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"4: Agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"171.59";"41.28";"";"";"";"46.91";"";"36.33";"";"30.84";"";"16.23";""
"25";"1980-01-01 00:00:00";"5";"el";"245137705";"GROUP 2";"Excited";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this really well";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"94.44";"53.68";"";"";"";"17.94";"";"9.65";"";"8.25";"";"4.92";""
"26";"1980-01-01 00:00:00";"5";"el";"1412952567";"GROUP 2";"Excited";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this really well";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"113.15";"64.73";"";"";"";"19.31";"";"9.14";"";"5.98";"";"13.99";""
"27";"1980-01-01 00:00:00";"5";"el";"1657822440";"GROUP 2";"Worried";".";"I can do this quite well but could develop further";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this really well";"I can do this really well";"I know what this is, but I’m not sure if I can do it";"5: Strongly agree";"5: Strongly agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"126.94";"56.77";"";"";"";"51.86";"";"8.29";"";"4.68";"";"5.34";""
"28";"1980-01-01 00:00:00";"5";"el";"746485952";"GROUP 5";"Confident";"";"I can do this really well";"I can do this really well";"I can do this really well";"I can do this really well";"I can do this really well";"I can do this really well";"I can do this really well";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"73.87";"41.15";"";"";"";"14.11";"";"8.09";"";"5.17";"";"5.35";""
"29";"1980-01-01 00:00:00";"5";"el";"887489084";"GROUP 5";"Confident";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"66.23";"29.83";"";"";"";"20.96";"";"8.17";"";"3.72";"";"3.55";""
"30";"1980-01-01 00:00:00";"5";"el";"1092243899";"GROUP 4";"Confident";"";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"67.84";"31.46";"";"";"";"13.82";"";"9.84";"";"5.56";"";"7.16";""
"31";"1980-01-01 00:00:00";"5";"el";"1647088139";"GROUP 3";"Confident";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I’m not able to do this yet";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"3: Neither agree nor disagree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"386.52";"276.95";"";"";"";"44.6";"";"31.4";"";"16.7";"";"16.87";""
"32";"1980-01-01 00:00:00";"5";"el";"1942565188";"GROUP 5";"Worried";"";"I’m not able to do this yet";"I’m not able to do this yet";"I can do this quite well but could develop further";"I can do this really well";"I can do this really well";"I can do this really well";"I can do this really well";"4: Agree";"5: Strongly agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"3: Neither agree nor disagree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"415.54";"83.2";"";"";"";"52.59";"";"36.33";"";"222.49";"";"20.93";""
"33";"1980-01-01 00:00:00";"5";"el";"2058715272";"GROUP 2";"Excited";"";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"I can do this quite well but could develop further";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"270.66";"77.56";"";"";"";"143.43";"";"36.26";"";"6.71";"";"6.7";""
"34";"1980-01-01 00:00:00";"5";"en";"1641932571";"GROUP 1";"Ready";"";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I can do this really well";"I can do this really well";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"4: Agree";"186.38";"70.55";"";"";"";"53.62";"";"34.88";"";"12.91";"";"14.42";""
"35";"1980-01-01 00:00:00";"5";"el";"1886046660";"GROUP 3";"Excited";"";"I know what this is, but I’m not sure if I can do it";"I can do this quite well but could develop further";"I can do this really well";"I can do this quite well but could develop further";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"I know what this is, but I’m not sure if I can do it";"4: Agree";"3: Neither agree nor disagree";"2: Disagree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"3: Neither agree nor disagree";"4: Agree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"3: Neither agree nor disagree";"4: Agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"5: Strongly agree";"4: Agree";"3: Neither agree nor disagree";"5: Strongly agree";"3: Neither agree nor disagree";"4: Agree";"3: Neither agree nor disagree";"4: Agree";"907.71";"290.92";"";"";"";"337.82";"";"74.57";"";"116.18";"";"88.22";""

